Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
GARS1	1	1	301301	437292
GART	2	2		51121.1
GATC	1	1		16024.3
GBA2	1	1		80535.6
GBF1	1	1		44413.1
GBP1;GBP3	1	0	23469	21749.1
GCN1	3	3	106938	78049.4
GDI2	3	2	41585	27750.4
GEMIN4	2	2		112030
GFUS	1	1	71033.9	66181.7
GGA2	1	1		11672.4
GID4	1	1		11637.2
GIN1	1	1	423642	731660
GIPC1	5	5		37294.5
GLB1	1	1		75689.5
GLE1	2	2	845019	1.83048e+06
GLIPR1	1	1		10399.1
GLRB	1	1		41082.4
GLYR1	1	1		75528.7
GMDS	1	1		3822.11
GMNN	1	1		32288.1
GNAI1;GNAI3	1	0		749756
GNAS	3	3	194825	444644
GNL2	4	4	588900	546762
GNL3	1	1		49547.9
GNL3L	2	2		881449
GOLM1	1	1	22726.4	
GON4L	1	0		32626
GOPC	1	1		59538.3
GPAA1	1	1		19098.3
GPATCH8	2	2		13894.3
GPS1	1	1	61169	51949.8
GPS2	1	1		9231.59
GPX3	1	1		32548.5
GPX8	1	1	170426	15317.1
GRAMD2B	1	1	154115	99783.8
GRIPAP1	1	1	468843	27488
GRTP1	1	1		35545.2
GRWD1	4	4	61199.7	34615.6
GSDMA	1	1	35859.9	
GSE1	1	1		39292.7
GSPT1;GSPT2	1	0		26926.8
GSTP1	2	2	274683	
GSTT2;GSTT2B	1	0		76402.7
GTF2B	2	2	88066.4	52761
GTF2I	3	3	89459.1	110160
GTF2IRD1	1	1		21062.1
GTF3C1	4	4	129220	111198
GTF3C2	1	1		35541.4
GTPBP2	1	1		16147.1
GTPBP6	3	3	12760	13035.8
GYS1	1	1	38815.7	10568.9
H1-2	3	0	31070.4	8116.34
H2AC11;H2AC12;H2AC14;H2AC18;H2AC20;H2AC25;H2AC4;H2AC6;H2AC7;H2AJ;H2AX	2	0	34490.2	34903.7
H2BC18;H2BC9	14	0	173949	81875.9
H2BC21	2	0	18642.4	17846.2
H3-3A;H3-4;H3C1;H3C15	2	0		20957.3
H4C1	6	6	101002	41671.3
HAL	2	2	105753	
HARS2	2	1		112030
HAUS2	1	1	366338	468528
HBA1	3	2	59112.7	63577.3
HBB	2	2	30934.2	16011
HBQ1	1	1		14248.1
HDAC5	1	1		40603.1
HDAC7	1	1	97731.1	
HDLBP	1	1	266233	
HEATR1	3	3	22684.2	22435.4
HECTD3	2	2	103577	
HELLS	1	1		33703.4
HELZ	1	1		13026.1
HELZ2	1	1		17679.8
HERC3	2	2		566922
HERC4	1	1	277336	63179
HEXB	2	2	3.34226e+06	1.89956e+06
HIKESHI	1	1	133204	294959
HIPK2	1	1		30458.7
HK1	2	2		31069.4
HLA-A;HLA-B;HLA-C;HLA-G;HLA-H	1	0		4237.61
HLA-E	3	1		16814.8
HLCS	2	2		110039
HLTF	1	1		18921.1
HM13	1	1		73820.1
HMGCR	1	1		42719.7
HMGCS1	2	2	381501	744267
HMGXB3	1	1	71300.5	
HMMR	1	1		9625.23
HNRNPA1;HNRNPA1L2;HNRNPA1L3	1	0		16737.2
HNRNPA2B1	5	4	90600.1	81957.4
HNRNPC;HNRNPCL1;HNRNPCL2;HNRNPCL3;HNRNPCL4	4	0	53687.2	96933.9
HNRNPDL	1	1		28005.6
HNRNPK	4	4	27900.8	28664.7
HNRNPL	1	1		132803
HNRNPM	1	1		8525.86
HNRNPU	2	2	26223.9	6863.68
HNRNPUL2	1	1		114248
HPRT1	1	1		3581.32
HRNR	2	2	51518.6	
HSD17B11	1	1		69179.8
HSD17B4	1	1		6370.16
HSD17B7	1	1	149222	127886
HSDL1	1	1	18381.7	
HSP90AA1	7	2	25793.9	35731.3
HSP90AB1	3	1	87376.6	163146
HSP90B1	6	5	747684	676675
HSPA14	1	1		60426.5
HSPA1A;HSPA1B	1	0		24377.5
HSPA2;HSPA8	3	0	78602.7	
HSPA4	2	1		49821.4
HSPA5	4	3	20314.9	20626.7
HSPA9	2	2	20387.3	12260.1
HSPB1	4	4	60850.6	68040.6
HSPBAP1	1	1		9433.86
HSPD1	14	14	361695	310878
HSPG2	1	1		25663.8
HUWE1	2	2		78430.2
IARS1	2	2		11117.6
IARS2	1	1		14100.4
ICE2	1	1		9981.62
IDE	1	1	58535.2	144341
IDH1	1	1	13932	
IDH2	2	2	9643.31	9666.98
IFFO2	1	1	180992	15157.7
IFI44	2	2		213260
IFIT1	1	1		30120.9
IFIT3	1	1		7991.68
IFT122	1	1		58811.6
IFT25	1	1		12609.3
IFT56	1	1		9052.45
IGF2BP1	1	1		58805.1
IGF2R	1	1		13098.7
IGFBP7	1	1	106051	102279
IGSF10	4	4	159757	623685
IGSF3	1	1	123221	490319
IK	1	1		154589
