Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
KAT2A	1	1		9184.99
KATNB1	1	1		28447.9
KCNG1	1	1	58079.3	372977
KCNH1	1	1		7725.33
KCT2	1	1	66836.5	56960.9
KCTD13	1	1		122258
KCTD9	1	1		79811.2
KDM1A	1	1	110677	82364.6
KDM3B	1	1	106744	148047
KDM5A	1	1	44935.8	79671.6
KGD4	1	1	221867	640542
KIAA1143	1	1		64928.4
KIF20A	1	1		16911
KIF20B	3	3	129928	212397
KIF2C	3	3	236046	143364
KIFAP3	2	2	56498.5	56943.2
KIFBP	1	1		18758
KLHL18	2	2		214768
KMT2C	1	1		13291.3
KNL1	2	2	502305	884934
KNSTRN	1	1		29271.9
KRT1	44	44	546786	26898.2
KRT10	18	18	183443	12854
KRT14	1	1	55243.1	
KRT16	2	2	20247.8	
KRT2	15	15	139698	13568.3
KRT23	1	1	24519.9	
KRT5	4	4	64544.1	
KRT8	1	1	21479.7	18070.7
KRT9	48	48	848621	372473
KRTCAP2	1	1	27923.4	
KYAT3	1	1		13488
Krt77	2	2	38847.4	
L3MBTL2	2	2	31397	26319.3
LACRT	3	3	87139.4	
LAMA5	4	4		79073.1
LAMB3	1	1		16347.1
LAMC1	2	2		234687
LANCL1	1	1		14672.5
LAP3	1	1		12033.5
LARP1	1	1		7323.52
LCN1	2	2	37575	
LCP1	1	1	33437	44257.1
LDAH	1	1		15223.9
LEMD3	1	1		39670.8
LENG8	1	1		27015.7
LGALS1	2	2		27394
LGALS8	1	1		9480.23
LGB	1	1	55371.2	
LIMCH1	1	1		92050.7
LIN7C	2	2	309788	202700
LIX1L	1	1		111678
LMAN2	1	1		27910.1
LMNA	1	1	78833.9	63832
LMNB1	1	1	29451.6	27733.4
LMO4	1	1	67717.8	152069
LMON_0032	1	1	17443.2	
LMON_0134	1	1		16625.4
LMON_0145	1	1		6949.13
LMON_0149	1	1		94371.3
LMON_0283	1	1		32717.5
LMON_0294	1	1	95165.5	20012.8
LMON_1501	3	3	719752	247715
LMON_1647	1	1		10281.9
LMON_1746	1	1		53538.1
LMON_1888	1	1		12036.2
LMON_2193	1	1		8536.12
LMON_2660	1	1	22542.4	
LMON_2714	1	1		39676
LONP1	2	2		60628.8
LONP2	2	2		47131.8
LOXL2	1	1	383209	
LRBA	2	2		49515.9
LRP5	1	1	61675.4	96776.5
LRPPRC	1	1		95931.1
LRRC40	1	1		42868.8
LTA4H	1	1		43339.8
LTF	3	3	70074.5	
LY6E	1	1		12287.1
LYPD3	1	1	11439.2	
LYZ	3	3	117290	
MACROH2A1	1	1		11791.7
MAGEA11	1	1		1994.71
MAGEA6	1	1		10138.2
MAGT1	1	1	45251.9	13299.6
MANEAL	1	1		47283.6
MAP1B	2	2		16791.4
MAP2K7	1	1		72170.8
MAP3K3	1	1	80811.1	46584.5
MAPK7	1	1		10518.4
MARCHF6	1	1		42022
MARCKS	2	2		12505.9
MASTL	1	1		23773.1
MATR3	1	1		31250.9
MBTPS2	1	1		320363
MCM3	1	1		81090.2
MCM4	3	3		34532
MCM5	1	1		230035
MCM6	3	3		70287.8
MCM7	2	2		171804
MCMBP	5	5	414604	401011
MCTP2	1	1		24152.7
MDH2	1	1	48037.9	11424.6
MDN1	3	3	271937	313274
MED12	1	1		67428.1
MED16	1	1		23204.8
MED17	1	1		27381
MED18	1	1		67366.9
MED23	1	1		56620.3
MED24	2	2		36341.3
