Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
Q6IA86	ELP2_HUMAN	ELP2	Elongator complex protein 2	1	1		40133.2
Q6IQ26	DEN5A_HUMAN	DENND5A	DENN domain-containing protein 5A	1	1	17483.2	28612.3
Q6J4K2	NCLX_HUMAN	SLC8B1	Mitochondrial sodium/calcium exchanger protein	1	1	26480.8	
Q6KC79	NIPBL_HUMAN	NIPBL	Nipped-B-like protein	1	1	14401.3	18121.5
Q6MZQ0	PRR5L_HUMAN	PRR5L	Proline-rich protein 5-like	1	1	20561.8	
Q6NTF9	RHBD2_HUMAN	RHBDD2	Rhomboid domain-containing protein 2	1	1	114003	97216.2
Q6NUM9	RETST_HUMAN	RETSAT	All-trans-retinol 13,14-reductase	1	1		69579.2
Q6NXE6	ARMC6_HUMAN	ARMC6	Armadillo repeat-containing protein 6	1	1	64350.3	70165.1
Q6NZI2	CAVN1_HUMAN	CAVIN1	Caveolae-associated protein 1	1	1		39854.8
Q6P1L6	ZN343_HUMAN	ZNF343	Zinc finger protein 343	1	1		35512.4
Q6P1M9	ARMX5_HUMAN	ARMCX5	Armadillo repeat-containing X-linked protein 5	1	1	158716	138383
Q6P1N0	C2D1A_HUMAN	CC2D1A	Coiled-coil and C2 domain-containing protein 1A	1	1	30767.9	24976.5
Q6P2E9	EDC4_HUMAN	EDC4	Enhancer of mRNA-decapping protein 4	1	1		18164.6
Q6P587	FAHD1_HUMAN	FAHD1	Oxaloacetate tautomerase FAHD1, mitochondrial	1	1	140342	286384
Q6P9B9	INT5_HUMAN	INTS5	Integrator complex subunit 5	1	1	25682	31306.2
Q6P9F7	LRC8B_HUMAN	LRRC8B	Volume-regulated anion channel subunit LRRC8B	1	1	61434.3	81192.7
Q6PCD5	RFWD3_HUMAN	RFWD3	E3 ubiquitin-protein ligase RFWD3	1	1	777551	844374
Q6PI98	IN80C_HUMAN	INO80C	INO80 complex subunit C	1	1	35444.2	
Q6PIJ6	FBX38_HUMAN	FBXO38	F-box only protein 38	1	1	59720.3	113390
Q6PKG0	LARP1_HUMAN	LARP1	La-related protein 1	1	1	336401	294464
Q6PL18	ATAD2_HUMAN	ATAD2	ATPase family AAA domain-containing protein 2	3	3	65198.7	64279.1
Q6Q0C0	TRAF7_HUMAN	TRAF7	E3 ubiquitin-protein ligase TRAF7	1	1	22695.1	
Q6UN15	FIP1_HUMAN	FIP1L1	Pre-mRNA 3'-end-processing factor FIP1	1	1	60771.2	60341.7
Q6UUV9	CRTC1_HUMAN	CRTC1	CREB-regulated transcription coactivator 1	1	1		19737.6
Q6UVM3	KCNT2_HUMAN	KCNT2	Potassium channel subfamily T member 2	1	1	66528.2	213075
Q6UWE0	LRSM1_HUMAN	LRSAM1	E3 ubiquitin-protein ligase LRSAM1	1	1		40320
Q6V0I7	FAT4_HUMAN	FAT4	Protocadherin Fat 4	1	1		81221.5
Q6V1X1	DPP8_HUMAN	DPP8	Dipeptidyl peptidase 8	1	1	31673.1	
Q6WRI0	IGS10_HUMAN	IGSF10	Immunoglobulin superfamily member 10	2	2	114038	112147
Q6XQN6	PNCB_HUMAN	NAPRT	Nicotinate phosphoribosyltransferase	1	1	36707.2	64473.7
Q6YHK3	CD109_HUMAN	CD109	CD109 antigen	1	1		25933.5
Q6YHU6	THADA_HUMAN	THADA	tRNA (32-2'-O)-methyltransferase regulator THADA	1	1	146028	255685
Q6ZMW3	EMAL6_HUMAN	EML6	Echinoderm microtubule-associated protein-like 6	1	1		43184.7
Q6ZU80	CE128_HUMAN	CEP128	Centrosomal protein of 128 kDa	1	1	150379	93374.9
Q6ZVM7	TM1L2_HUMAN	TOM1L2	TOM1-like protein 2	1	1		154002
Q70J99	UN13D_HUMAN	UNC13D	Protein unc-13 homolog D	1	1		88155.7
Q71RG4	TMUB2_HUMAN	TMUB2	Transmembrane and ubiquitin-like domain-containing protein 2	1	1		468451
Q71SY5	MED25_HUMAN	MED25	Mediator of RNA polymerase II transcription subunit 25	1	1		41354.6
Q75QN2	INT8_HUMAN	INTS8	Integrator complex subunit 8	1	1	29685.1	31956.2
Q75T13	PGAP1_HUMAN	PGAP1	GPI inositol-deacylase	1	1		61540.3
Q765P7	MTSS2_HUMAN	MTSS2	Protein MTSS 2	1	1	189493	
Q76EJ3	S35D2_HUMAN	SLC35D2	Nucleotide sugar transporter SLC35D2	1	1	144742	340233
Q76I76	SSH2_HUMAN	SSH2	Protein phosphatase Slingshot homolog 2	1	1	169793	559348
Q7KYR7	BT2A1_HUMAN	BTN2A1	Butyrophilin subfamily 2 member A1	1	1	30577.8	31640.5
Q7L1Q6	5MP2_HUMAN	BZW1	eIF5-mimic protein 2	1	1		30282.9
Q7L1S5	CHST9_HUMAN	CHST9	Carbohydrate sulfotransferase 9	1	1		547744
Q7L1W4	LRC8D_HUMAN	LRRC8D	Volume-regulated anion channel subunit LRRC8D	1	1		36372.5
Q7L5N1	CSN6_HUMAN	COPS6	COP9 signalosome complex subunit 6	1	1	519396	539123
Q7L9L4;Q9H8S9	MOB1A_HUMAN;MOB1B_HUMAN	MOB1A;MOB1B	MOB kinase activator 1B	3	0	2.76001e+06	2.73989e+06
Q7Z2K6	ERMP1_HUMAN	ERMP1	Endoplasmic reticulum metallopeptidase 1	1	1		56945.7
Q7Z2W4	ZCCHV_HUMAN	ZC3HAV1	Zinc finger CCCH-type antiviral protein 1	1	1		112500
Q7Z2Z2	EFL1_HUMAN	EFL1	Elongation factor-like GTPase 1	1	1	1.51884e+06	2.64172e+06
Q7Z429	LFG1_HUMAN	GRINA	Protein lifeguard 1	2	2	432438	276374
Q7Z4G1	COMD6_HUMAN	COMMD6	COMM domain-containing protein 6	1	1	211916	103414
Q7Z4N8	P4HA3_HUMAN	P4HA3	Prolyl 4-hydroxylase subunit alpha-3	1	1	88639.4	143483
Q7Z6Z7	HUWE1_HUMAN	HUWE1	E3 ubiquitin-protein ligase HUWE1	3	3	67320.6	90659
Q86SS6	SYT9_HUMAN	SYT9	Synaptotagmin-9	1	1		15794
Q86T24	KAISO_HUMAN	ZBTB33	Transcriptional regulator Kaiso	1	1		20570.9
Q86TI2	DPP9_HUMAN	DPP9	Dipeptidyl peptidase 9	1	1	95575.3	21812.1
Q86TM6	SYVN1_HUMAN	SYVN1	E3 ubiquitin-protein ligase synoviolin	1	1	73552.9	182493
Q86VZ5	SMS1_HUMAN	SGMS1	Phosphatidylcholine:ceramide cholinephosphotransferase 1	2	2	61313	
Q86XI2	CNDG2_HUMAN	NCAPG2	Condensin-2 complex subunit G2	4	4	24959	58698
Q86XN7	PRSR1_HUMAN	PROSER1	Proline and serine-rich protein 1	1	1		76970.4
Q86XP3	DDX42_HUMAN	DDX42	ATP-dependent RNA helicase DDX42	1	1	504139	754378
Q86YQ8;Q8IYJ1;Q9HCH3	CPNE5_HUMAN;CPNE8_HUMAN;CPNE9_HUMAN	CPNE5;CPNE8;CPNE9	Copine-8	1	0		14222.7
Q8IUR0	TPPC5_HUMAN	TRAPPC5	Trafficking protein particle complex subunit 5	2	2	1.23289e+06	1.09505e+06
Q8IVF2	AHNK2_HUMAN	AHNAK2	Protein AHNAK2	1	1	790052	1.23407e+06
Q8IVJ1	S41A1_HUMAN	SLC41A1	Solute carrier family 41 member 1	1	1		34677.8
Q8IVL5	P3H2_HUMAN	P3H2	Prolyl 3-hydroxylase 2	1	1		62011.6
Q8IWA0	WDR75_HUMAN	WDR75	WD repeat-containing protein 75	1	1	65073.8	89353.1
Q8IXB1	DJC10_HUMAN	DNAJC10	DnaJ homolog subfamily C member 10	1	1	50571	82216.8
Q8IXI1;Q8IXI2	MIRO1_HUMAN;MIRO2_HUMAN	RHOT1;RHOT2	Mitochondrial Rho GTPase 2	1	0		60029.6
Q8IXN7	RIMKA_HUMAN	RIMKLA	N-acetylaspartylglutamate synthase A	1	1	36452.1	
Q8IYB1	M21D2_HUMAN	MB21D2	Nucleotidyltransferase MB21D2	1	1	1.09793e+06	1.2281e+06
Q8IZ52	CHSS2_HUMAN	CHPF	Chondroitin sulfate synthase 2	1	1		69544.2
Q8IZ83	A16A1_HUMAN	ALDH16A1	Aldehyde dehydrogenase family 16 member A1	1	1	65102.8	28976.2
Q8IZW8	TENS4_HUMAN	TNS4	Tensin-4	1	1	31998.4	
Q8MH63;Q9GIP4	LAT1L_HUMAN;LAT1N_HUMAN	SLC7A5P1;SLC7A5P2	Putative L-type amino acid transporter 1-like protein MLAS	1	0	102318	217711
Q8N196	SIX5_HUMAN	SIX5	Homeobox protein SIX5	1	1		53018.7
Q8N2K0	ABD12_HUMAN	ABHD12	Lysophosphatidylserine lipase ABHD12	1	1		4303.11
Q8N2K1	UB2J2_HUMAN	UBE2J2	Ubiquitin-conjugating enzyme E2 J2	1	1	52647.5	81055.8
Q8N3U4	STAG2_HUMAN	STAG2	Cohesin subunit SA-2	2	0	76864	80317.1
Q8N3Z3	GTPB8_HUMAN	GTPBP8	GTP-binding protein 8	1	1	172745	183599
Q8N511	VMA12_HUMAN	VMA12	Vacuolar ATPase assembly protein VMA12	1	1		20517.3
Q8N682	DRAM1_HUMAN	DRAM1	DNA damage-regulated autophagy modulator protein 1	1	1		21888.4
Q8N8U2	CDYL2_HUMAN	CDYL2	Chromodomain Y-like protein 2	1	1	98604.5	294642
Q8N8Z6	DCBD1_HUMAN	DCBLD1	Discoidin, CUB and LCCL domain-containing protein 1	1	1	17048.1	
Q8N9I9	DTX3_HUMAN	DTX3	Probable E3 ubiquitin-protein ligase DTX3	1	1		17469.5
Q8NA29	NLS1_HUMAN	MFSD2A	Sodium-dependent lysophosphatidylcholine symporter 1	1	1	126246	
Q8NBI5	S43A3_HUMAN	SLC43A3	Equilibrative nucleobase transporter 1	1	1	121390	225448
Q8NBW4	S38A9_HUMAN	SLC38A9	Neutral amino acid transporter 9	1	1		10122.2
Q8NCM2	KCNH5_HUMAN	KCNH5	Voltage-gated delayed rectifier potassium channel KCNH5	1	1	434793	
Q8NCW5	NNRE_HUMAN	NAXE	NAD(P)H-hydrate epimerase	1	1	39432	26171.7
Q8ND83	SLAI1_HUMAN	SLAIN1	SLAIN motif-containing protein 1	1	1		3200.44
Q8NEN9	PDZD8_HUMAN	PDZD8	PDZ domain-containing protein 8	1	1	26178	22648.2
Q8NET5	NFAM1_HUMAN	NFAM1	NFAT activation molecule 1	1	1	760673	
Q8NF64	ZMIZ2_HUMAN	ZMIZ2	Zinc finger MIZ domain-containing protein 2	1	1		156747
Q8NFF5	FAD1_HUMAN	FLAD1	FAD synthase	1	1		36901.7
Q8NG31	KNL1_HUMAN	KNL1	Outer kinetochore KNL1 complex subunit KNL1	2	2	408775	608756
Q8NHQ8	RASF8_HUMAN	RASSF8	Ras association domain-containing protein 8	1	1	1.0047e+06	945812
Q8NHU3	SMS2_HUMAN	SGMS2	Phosphatidylcholine:ceramide cholinephosphotransferase 2	1	1	60195.4	
Q8NHV5	MOSMO_HUMAN	MOSMO	Modulator of smoothened protein	1	1	581000	
Q8NHX9	TPC2_HUMAN	TPCN2	Two pore channel protein 2	1	1		52955.5
Q8NHZ8	CDC26_HUMAN	CDC26	Anaphase-promoting complex subunit CDC26	1	1	67730	68669.7
Q8NI22	MCFD2_HUMAN	MCFD2	Multiple coagulation factor deficiency protein 2	1	1	311768	297576
Q8TBH0	ARRD2_HUMAN	ARRDC2	Arrestin domain-containing protein 2	1	1	53314.4	107914
Q8TBP0	TBC16_HUMAN	TBC1D16	TBC1 domain family member 16	1	1		8566.52
Q8TCB0	IFI44_HUMAN	IFI44	Interferon-induced protein 44	1	1	152175	256721
Q8TCJ2	STT3B_HUMAN	STT3B	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B	1	1	581610	1.1262e+06
Q8TCT9	SPP_HUMAN	HM13	Signal peptide peptidase	1	1	63029	35138.3
Q8TDN4	CABL1_HUMAN	CABLES1	CDK5 and ABL1 enzyme substrate 1	1	1	622299	185981
Q8TDY4	ASAP3_HUMAN	ASAP3	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3	1	1		13073
Q8TED0	UTP15_HUMAN	UTP15	U3 small nucleolar RNA-associated protein 15 homolog	2	2	240337	173043
Q8TEM1	PO210_HUMAN	NUP210	Nuclear pore membrane glycoprotein 210	4	4	826548	2.05247e+06
Q8TEQ0	SNX29_HUMAN	SNX29	Sorting nexin-29	1	1		38079.2
Q8TF40	FNIP1_HUMAN	FNIP1	Folliculin-interacting protein 1	1	1		21506.5
Q8TF42	UBS3B_HUMAN	UBASH3B	Ubiquitin-associated and SH3 domain-containing protein B	1	1		40472.2
Q8TF64	GIPC3_HUMAN	GIPC3	PDZ domain-containing protein GIPC3	1	1		61405.5
Q8WUA8	TSK_HUMAN	TSKU	Tsukushi	1	1	124627	94754.3
Q8WUB8	PHF10_HUMAN	PHF10	PHD finger protein 10	1	1		53373.4
Q8WUD6	CHPT1_HUMAN	CHPT1	Cholinephosphotransferase 1	2	2	80130.6	112599
Q8WUH2	TGFA1_HUMAN	TGFBRAP1	Transforming growth factor-beta receptor-associated protein 1	1	1	43482.6	145824
Q8WUI4	HDAC7_HUMAN	HDAC7	Histone deacetylase 7	1	1	28753	
Q8WUM9	S20A1_HUMAN	SLC20A1	Sodium-dependent phosphate transporter 1	1	1	183192	127960
Q8WV22	NSE1_HUMAN	NSMCE1	Non-structural maintenance of chromosomes element 1 homolog	1	1		29438
Q8WV83	S35F5_HUMAN	SLC35F5	Solute carrier family 35 member F5	1	1		16384.1
Q8WXI7	MUC16_HUMAN	MUC16	Mucin-16	2	2		16470.3
Q8WZ82	OVCA2_HUMAN	OVCA2	Esterase OVCA2	1	1		164117
Q92504	S39A7_HUMAN	SLC39A7	Zinc transporter SLC39A7	1	1		107118
Q92506	DHB8_HUMAN	HSD17B8	(3R)-3-hydroxyacyl-CoA dehydrogenase	1	1		46031.7
Q92540	SMG7_HUMAN	SMG7	Nonsense-mediated mRNA decay factor SMG7	1	1	72317.5	
Q92600	CNOT9_HUMAN	CNOT9	CCR4-NOT transcription complex subunit 9	1	1	39003.9	
Q92673	SORL_HUMAN	SORL1	Sortilin-related receptor	1	1		78829.7
Q92766	RREB1_HUMAN	RREB1	Ras-responsive element-binding protein 1	1	1	20886.9	
Q92900	RENT1_HUMAN	UPF1	Regulator of nonsense transcripts 1	2	2		119773
Q93052	LPP_HUMAN	LPP	Lipoma-preferred partner	1	1	44440.5	76543.6
Q95460	HMR1_HUMAN	MR1	Major histocompatibility complex class I-related protein 1	1	1		319889
Q969H6	POP5_HUMAN	POP5	Ribonuclease P/MRP protein subunit POP5	2	2	1.68673e+06	2.3402e+06
Q969J3	BORC5_HUMAN	BORCS5	BLOC-1-related complex subunit 5	1	1		37904.2
Q96AC1	FERM2_HUMAN	FERMT2	Fermitin family homolog 2	1	1		38851.5
Q96AX1	VP33A_HUMAN	VPS33A	Vacuolar protein sorting-associated protein 33A	1	1		27690.9
Q96AY2	EME1_HUMAN	EME1	Structure-specific endonuclease subunit EME1	1	1		83140
Q96BI3	APH1A_HUMAN	APH1A	Gamma-secretase subunit APH-1A	1	1		90051.7
Q96BP3	PPWD1_HUMAN	PPWD1	Peptidylprolyl isomerase domain and WD repeat-containing protein 1	1	1		174187
Q96CP7	TLCD1_HUMAN	TLCD1	TLC domain-containing protein 1	1	1	56377.2	70256
Q96CT2	KLH29_HUMAN	KLHL29	Kelch-like protein 29	1	1	71159.1	
Q96EC8	YIPF6_HUMAN	YIPF6	Protein YIPF6	2	2		26667.5
Q96EF9;Q96K31	CH076_HUMAN;ZHX1R_HUMAN	C8orf76;ZHX1-C8orf76	Zinc fingers and homeoboxes protein 1, isoform 2	1	0		18302.7
Q96EX3	DC2I2_HUMAN	DYNC2I2	Cytoplasmic dynein 2 intermediate chain 2	1	1		266761
Q96F86	EDC3_HUMAN	EDC3	Enhancer of mRNA-decapping protein 3	1	1		18730
Q96FL8	S47A1_HUMAN	SLC47A1	Multidrug and toxin extrusion protein 1	2	2		82890.3
Q96G01	BICD1_HUMAN	BICD1	Protein bicaudal D homolog 1	1	1		17428.9
Q96GX2	A7L3B_HUMAN	ATXN7L3B	Ataxin-7-like protein 3B	1	1		42886.1
Q96GZ6	S41A3_HUMAN	SLC41A3	Solute carrier family 41 member 3	1	1		93129.4
Q96HU1	SGSM3_HUMAN	SGSM3	Small G protein signaling modulator 3	1	1	776794	450853
Q96IJ6	GMPPA_HUMAN	GMPPA	Mannose-1-phosphate guanylyltransferase regulatory subunit alpha	1	1		5086.71
Q96IP4	TET5A_HUMAN	TENT5A	Terminal nucleotidyltransferase 5A	1	1		96568.9
Q96IX5	ATPMK_HUMAN	ATP5MK	ATP synthase F(0) complex subunit k, mitochondrial	1	1	273314	399021
Q96JW4	S41A2_HUMAN	SLC41A2	Solute carrier family 41 member 2	1	1		76351.8
Q96K37	S35E1_HUMAN	SLC35E1	Solute carrier family 35 member E1	2	2	2.49466e+06	3.8052e+06
Q96KE9;Q9Y2F9	BTBD3_HUMAN;BTBD6_HUMAN	BTBD3;BTBD6	BTB/POZ domain-containing protein 6	1	0	613848	1.21776e+06
Q96L33	RHOV_HUMAN	RHOV	Rho-related GTP-binding protein RhoV	1	1		60978.6
Q96MT1	RN145_HUMAN	RNF145	RING finger protein 145	3	3	414492	890565
Q96NB1	CEP20_HUMAN	CEP20	Centrosomal protein 20	1	1		18149
Q96NL6	SCLT1_HUMAN	SCLT1	Sodium channel and clathrin linker 1	1	1	107355	203067
Q96P48	ARAP1_HUMAN	ARAP1	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1	3	3	125312	215540
Q96QD8	S38A2_HUMAN	SLC38A2	Sodium-coupled neutral amino acid symporter 2	1	1		11178.4
Q96QE2	MYCT_HUMAN	SLC2A13	Proton myo-inositol cotransporter	1	1	137795	279867
Q96QK1	VPS35_HUMAN	VPS35	Vacuolar protein sorting-associated protein 35	2	2	533463	488822
Q96RD7	PANX1_HUMAN	PANX1	Pannexin-1	1	1	179498	201543
Q96RL7	VP13A_HUMAN	VPS13A	Intermembrane lipid transfer protein VPS13A	2	2	613188	625194
Q96S44	PRPK_HUMAN	TP53RK	EKC/KEOPS complex subunit TP53RK	1	1		71341.6
Q96S97	MYADM_HUMAN	MYADM	Myeloid-associated differentiation marker	2	2	95452.3	102832
Q96SB4	SRPK1_HUMAN	SRPK1	SRSF protein kinase 1	1	1	52218.8	70270.2
Q96T52	IMP2L_HUMAN	IMMP2L	Mitochondrial inner membrane protease subunit 2	1	1	702995	814989
Q96TA1	NIBA2_HUMAN	NIBAN2	Protein Niban 2	1	1		31066.7
Q99436	PSB7_HUMAN	PSMB7	Proteasome subunit beta type-7	1	1	105282	192131
Q99437	VATO_HUMAN	ATP6V0B	V-type proton ATPase 21 kDa proteolipid subunit c''	1	1	467363	455912
Q99460	PSMD1_HUMAN	PSMD1	26S proteasome non-ATPase regulatory subunit 1	2	2	173052	222584
Q99471	PFD5_HUMAN	PFDN5	Prefoldin subunit 5	1	1		131678
Q99550	MPP9_HUMAN	MPHOSPH9	M-phase phosphoprotein 9	1	1	101584	65702.5
Q99567	NUP88_HUMAN	NUP88	Nuclear pore complex protein Nup88	1	1	75151.2	146258
Q99570	PI3R4_HUMAN	PIK3R4	Phosphoinositide 3-kinase regulatory subunit 4	2	2	431720	548609
Q99590	SCAFB_HUMAN	SCAF11	Protein SCAF11	1	1	135325	235457
Q99598	TSNAX_HUMAN	TSNAX	Translin-associated protein X	1	1	14893.3	13806.4
Q99653	CHP1_HUMAN	CHP1	Calcineurin B homologous protein 1	1	1		70806.4
Q99707	METH_HUMAN	MTR	Methionine synthase	1	1		11042.9
Q99715	COCA1_HUMAN	COL12A1	Collagen alpha-1(XII) chain	2	2	71057	121356
Q99720	SGMR1_HUMAN	SIGMAR1	Sigma non-opioid intracellular receptor 1	1	1	136794	228907
Q99741	CDC6_HUMAN	CDC6	Cell division control protein 6 homolog	1	1	16919.9	46558.2
Q99798	ACON_HUMAN	ACO2	Aconitate hydratase, mitochondrial	1	1	128272	373678
Q99808	S29A1_HUMAN	SLC29A1	Equilibrative nucleoside transporter 1	1	1	131449	100563
Q99816	TS101_HUMAN	TSG101	Tumor susceptibility gene 101 protein	1	1		21879.9
Q99828	CIB1_HUMAN	CIB1	Calcium and integrin-binding protein 1	1	1	703005	1.38173e+06
Q99832	TCPH_HUMAN	CCT7	T-complex protein 1 subunit eta	2	2	121155	86669
Q99942	RNF5_HUMAN	RNF5	E3 ubiquitin-protein ligase RNF5	1	1	103770	45016.9
Q99961	SH3G1_HUMAN	SH3GL1	Endophilin-A2	1	1		111457
Q9BPX3	CND3_HUMAN	NCAPG	Condensin complex subunit 3	1	1	1.32997e+06	673603
Q9BPX7	CG025_HUMAN	C7orf25	UPF0415 protein C7orf25	1	1	16973.9	
Q9BPZ7	SIN1_HUMAN	MAPKAP1	Target of rapamycin complex 2 subunit MAPKAP1	1	1		56844.5
Q9BQ52	RNZ2_HUMAN	ELAC2	Zinc phosphodiesterase ELAC protein 2	1	1	721985	748866
Q9BQ70	TCF25_HUMAN	TCF25	Ribosome quality control complex subunit TCF25	1	1		149998
Q9BQE5	APOL2_HUMAN	APOL2	Apolipoprotein L2	2	2	726730	1.20879e+06
Q9BRB3	PIGQ_HUMAN	PIGQ	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q	1	1	801538	722896
Q9BRL7	SC22C_HUMAN	SEC22C	Vesicle-trafficking protein SEC22c	1	1	132526	87897
Q9BSR8	YIPF4_HUMAN	YIPF4	Protein YIPF4	1	1		161957
Q9BSV6	SEN34_HUMAN	TSEN34	tRNA-splicing endonuclease subunit Sen34	1	1		112820
Q9BT73	PSMG3_HUMAN	PSMG3	Proteasome assembly chaperone 3	1	1	249800	145594
Q9BVK2	ALG8_HUMAN	ALG8	Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase	1	1	40099.1	35404.5
Q9BVP2	GNL3_HUMAN	GNL3	Guanine nucleotide-binding protein-like 3	1	1	78211.9	
Q9BVV7	TIM21_HUMAN	TIMM21	Mitochondrial import inner membrane translocase subunit Tim21	1	1	127370	46907.4
Q9BW27	NUP85_HUMAN	NUP85	Nuclear pore complex protein Nup85	1	1		34239.4
Q9BW60	ELOV1_HUMAN	ELOVL1	Very long chain fatty acid elongase 1	1	1	14985	27699.3
Q9BWH6	RPAP1_HUMAN	RPAP1	RNA polymerase II-associated protein 1	1	1	22031.2	47001.7
Q9BX63	FANCJ_HUMAN	BRIP1	Fanconi anemia group J protein	1	1	70147	93795.2
Q9BX70	BTBD2_HUMAN	BTBD2	BTB/POZ domain-containing protein 2	1	1	55461.2	202464
Q9BXS9	S26A6_HUMAN	SLC26A6	Solute carrier family 26 member 6	1	1		178546
Q9BY49	PECR_HUMAN	PECR	Peroxisomal trans-2-enoyl-CoA reductase	1	1		17246.3
Q9BYZ2;Cont_Q5E9B1;P00338;P07195;Q6ZMR3	LDH6A_HUMAN;LDH6B_HUMAN;LDHA_HUMAN;LDHB_BOVIN;LDHB_HUMAN	LDHA;LDHAL6A;LDHAL6B;LDHB	L-lactate dehydrogenase B chain	1	0	1.31552e+06	1.65103e+06
Q9BZD4	NUF2_HUMAN	NUF2	Kinetochore protein Nuf2	1	1	466766	229691
Q9BZR9	TRIM8_HUMAN	TRIM8	E3 ubiquitin-protein ligase TRIM8	1	1	69161.1	147178
Q9C0D2	CE295_HUMAN	CEP295	Centrosomal protein of 295 kDa	1	1	224646	470411
Q9C0D3	ZY11B_HUMAN	ZYG11B	Protein zyg-11 homolog B	1	1		383562
Q9C0D5	TANC1_HUMAN	TANC1	Protein TANC1	1	1		6814.23
Q9C0H6	KLHL4_HUMAN	KLHL4	Kelch-like protein 4	1	1		77528
Q9GZL7	WDR12_HUMAN	WDR12	Ribosome biogenesis protein WDR12	1	1	28035	17835
Q9GZM5	YIPF3_HUMAN	YIPF3	Protein YIPF3	1	1		396055
Q9GZZ1	NAA50_HUMAN	NAA50	N-alpha-acetyltransferase 50	1	1	209041	213933
Q9H0E9	BRD8_HUMAN	BRD8	Bromodomain-containing protein 8	2	2	79065.3	78677.1
Q9H0V1	TM168_HUMAN	TMEM168	Transmembrane protein 168	1	1	220236	204918
Q9H0W9	CK054_HUMAN	C11orf54	Ester hydrolase C11orf54	1	1	72638.5	179421
Q9H211	CDT1_HUMAN	CDT1	DNA replication factor Cdt1	1	1	19134.1	
Q9H2D1	S2532_HUMAN	SLC25A32	Solute carrier family 25 member 32	1	1	12580.6	21856.1
Q9H2P9	DPH5_HUMAN	DPH5	Diphthine methyl ester synthase	1	1	585842	1.00667e+06
Q9H2V7	SPNS1_HUMAN	SPNS1	Protein spinster homolog 1	1	1	182148	
Q9H3K2	GHITM_HUMAN	GHITM	Growth hormone-inducible transmembrane protein	1	1		128983
Q9H422	HIPK3_HUMAN	HIPK3	Homeodomain-interacting protein kinase 3	1	1		23166.3
Q9H427	KCNKF_HUMAN	KCNK15	Potassium channel subfamily K member 15	1	1		75276.8
Q9H446	RWDD1_HUMAN	RWDD1	RWD domain-containing protein 1	1	1		28104.8
Q9H4B4	PLK3_HUMAN	PLK3	Serine/threonine-protein kinase PLK3	1	1		99799.7
Q9H4M9;Q9NZN4	EHD1_HUMAN;EHD2_HUMAN	EHD1;EHD2	EH domain-containing protein 1	1	0	141804	138760
Q9H583	HEAT1_HUMAN	HEATR1	HEAT repeat-containing protein 1	2	2		72749
Q9H6Y7	RN167_HUMAN	RNF167	E3 ubiquitin-protein ligase RNF167	2	2	357194	855389
Q9H7D7	WDR26_HUMAN	WDR26	WD repeat-containing protein 26	1	1	888654	963458
Q9H845	ACAD9_HUMAN	ACAD9	Complex I assembly factor ACAD9, mitochondrial	1	1		40319.4
Q9H8M1	CQ10B_HUMAN	COQ10B	Coenzyme Q-binding protein COQ10 homolog B, mitochondrial	1	1		691279
Q9H8M2	BRD9_HUMAN	BRD9	Bromodomain-containing protein 9	1	1	79179.8	79461.4
Q9H8V3	ECT2_HUMAN	ECT2	Protein ECT2	1	1		161406
Q9H900	ZWILC_HUMAN	ZWILCH	Protein zwilch homolog	1	1	27594.2	
Q9HAB3	S52A2_HUMAN	SLC52A2	Solute carrier family 52, riboflavin transporter, member 2	1	0		4947.01
Q9HAU8	RNPL1_HUMAN	RNPEPL1	Aminopeptidase RNPEPL1	1	1	14564.8	19289.4
Q9HAY2	MAGF1_HUMAN	MAGEF1	Melanoma-associated antigen F1	1	1	147285	
Q9HBH9	MKNK2_HUMAN	MKNK2	MAP kinase-interacting serine/threonine-protein kinase 2	1	1	72525.2	295101
Q9HBL8	NMRL1_HUMAN	NMRAL1	NmrA-like family domain-containing protein 1	1	1		8923.61
Q9HCE1	MOV10_HUMAN	MOV10	Helicase MOV-10	1	1	253094	252949
Q9HCJ1	ANKH_HUMAN	ANKH	Mineralization regulator ANKH	3	3	3.79859e+06	3.04811e+06
Q9HCN4	GPN1_HUMAN	GPN1	GPN-loop GTPase 1	2	2	3.87164e+06	3.39278e+06
Q9NPA0	EMC7_HUMAN	EMC7	Endoplasmic reticulum membrane protein complex subunit 7	1	1		16552.8
Q9NQ31	AKIP1_HUMAN	AKIP1	A-kinase-interacting protein 1	1	1	2.97427e+06	2.84088e+06
Q9NQ48	LZTL1_HUMAN	LZTFL1	Leucine zipper transcription factor-like protein 1	1	1		98864.2
Q9NQC7	CYLD_HUMAN	CYLD	Ubiquitin carboxyl-terminal hydrolase CYLD	1	1		44711.5
